,video_id,title,tags,views,likes,dislikes,comment_total,combined_features,index
2350,xLZoYh-aMm8,Ultimate Pumpkin Carving Tool,lasr cuttr william sma crappy scic hallw pumpki pumpki carvig carvig tl lasr hallw pumpki pumpki pwr tl hw much pwr is t much pwr,191793.0,9251.0,196.5,5580.0,lasr cuttr william sma crappy scic hallw pumpki pumpki carvig carvig tl lasr hallw pumpki pumpki pwr tl hw much pwr is t much pwr Ultimate Pumpkin Carving Tool,2350
863,LDcm6twPEJA,The Problem With Our Phones,th schl f lif schl lif ducati rlatiships md alai d btt srm philsphy lctur wisdm Ld talk scular slf imprvmt curriculum big qustis lv wllss midfullss psychlgy Alai d btt f hw t hack phs mbil cll tchlgy addicti mdr dprssi prblm issu PL-SELF ph scic iph mdia cll ph schl f lif appl prstati iph prblm prblm with iph téléph tléf Tlf 电话 電話 फ़ोन Телефон,183960.5,10239.0,443.5,1142.5,th schl f lif schl lif ducati rlatiships md alai d btt srm philsphy lctur wisdm Ld talk scular slf imprvmt curriculum big qustis lv wllss midfullss psychlgy Alai d btt f hw t hack phs mbil cll tchlgy addicti mdr dprssi prblm issu PL-SELF ph scic iph mdia cll ph schl f lif appl prstati iph prblm prblm with iph téléph tléf Tlf 电话 電話 फ़ोन Телефон The Problem With Our Phones,863
1164,TLfwSd-tLcM,31 LAST MINUTE DIY HALLOWEEN COSTUMES,DIY 2017 hallw cstums cupls hallw cstums 2017 cupl hallw cstums 2017 d it yurslf hallw cstum hallw cstums cstum idas asy cstum chap cstum Ia hcx curty millr last miut last miut cstums DIY cstum DIY hallw last miut cstum idas DIY hallw cstums asy diy cstum asy hallw cstum last miut cstum chap hallw cstum fu hallw cstums bst hallw cstums 2017,560498.6666666666,24056.333333333332,1373.3333333333333,1491.0,DIY 2017 hallw cstums cupls hallw cstums 2017 cupl hallw cstums 2017 d it yurslf hallw cstum hallw cstums cstum idas asy cstum chap cstum Ia hcx curty millr last miut last miut cstums DIY cstum DIY hallw last miut cstum idas DIY hallw cstums asy diy cstum asy hallw cstum last miut cstum chap hallw cstum fu hallw cstums bst hallw cstums 2017 31 LAST MINUTE DIY HALLOWEEN COSTUMES,1164
1228,UxrTnLgO1YM,HALLOWEEN COSTUME THRIFT SHOPPING?!,thrift shppig hallw cstum ambr schll macklmr DIY idas chap asy ctbr party gdwill try  haul last miut cupls thriftig,411200.75,18314.75,356.25,1965.0,thrift shppig hallw cstum ambr schll macklmr DIY idas chap asy ctbr party gdwill try  haul last miut cupls thriftig HALLOWEEN COSTUME THRIFT SHOPPING?!,1228
1024,Pxojz6grwcU,What Happened to Mad Cow Disease?,SciShw scic Hak Gr ducati lar mad cw disas bvi spgifrm cphalpathy What Happd t Mad Cw Disas? stfa chi pri pri disass scrapi rvus tissu variat Crutzfldt-Jakb disas vCJD milk mat uk bs prti prti fldig,286400.5,8936.5,155.5,1277.5,SciShw scic Hak Gr ducati lar mad cw disas bvi spgifrm cphalpathy What Happd t Mad Cw Disas? stfa chi pri pri disass scrapi rvus tissu variat Crutzfldt-Jakb disas vCJD milk mat uk bs prti prti fldig What Happened to Mad Cow Disease?,1024
788,J_OyB0k-IVg,Earthquake kills dozens in central Mexico,mxic arthquak mxic quak ctral mxic quak publa publa arth qauk bria tdd,299032.75,1242.5,373.75,2588.75,mxic arthquak mxic quak ctral mxic quak publa publa arth qauk bria tdd Earthquake kills dozens in central Mexico,788
1165,TMy0vJfKvzI,A Boy Ate 25 Laxative Brownies In 1 Hour. This Is What Happened To His Kidneys.,mdical mdici patit dctr scic tchlgy A By At 25 Laxativ Brwis I 1 Hur. This Is What Happd T His Kidys. brwis hur kidy by ral happd halth ducati pharmacy car tratmt frg dacig sdium ptassium chmistry,720640.0,12267.0,496.5,1383.0,mdical mdici patit dctr scic tchlgy A By At 25 Laxativ Brwis I 1 Hur. This Is What Happd T His Kidys. brwis hur kidy by ral happd halth ducati pharmacy car tratmt frg dacig sdium ptassium chmistry A Boy Ate 25 Laxative Brownies In 1 Hour. This Is What Happened To His Kidneys.,1165
2188,tTHMBjyzgEU,How Much Do You Poop In A Lifetime?,pp hw much will yu pp hw much ds a prs pp Hw Much D Yu Pp I A Liftim? crap hw d tilts wrk tilt what is pp p fcs scic umbr tw ducati tak a pp bwl mvmt bathrm what is p whr ds p g dfcati wast drp a duc d d aimati digstiv systm itstis gig t th bathrm vrybdy pps stl p,144226.0,4886.2,200.4,1519.6,pp hw much will yu pp hw much ds a prs pp Hw Much D Yu Pp I A Liftim? crap hw d tilts wrk tilt what is pp p fcs scic umbr tw ducati tak a pp bwl mvmt bathrm what is p whr ds p g dfcati wast drp a duc d d aimati digstiv systm itstis gig t th bathrm vrybdy pps stl p How Much Do You Poop In A Lifetime?,2188
1377,Z7R8XRKqHAI,Hey Ya! - Walk off the Earth (Outkast Cover),hy ya cvr amazig cvr Shap f Yu Walk ff th arth Wird istrumts th bst music vids fficial vid fficial hy ya cvr fficial hy ya vid,544460.1666666666,34314.166666666664,503.5,1777.6666666666667,hy ya cvr amazig cvr Shap f Yu Walk ff th arth Wird istrumts th bst music vids fficial vid fficial hy ya cvr fficial hy ya vid Hey Ya! - Walk off the Earth (Outkast Cover),1377
2258,uxI-8GTqDYA,How To Survive The Apocalypse  - Scientific Survival Tips,Scic AsapSCIENCE Survival Nuclar War Nrth Kra Dald Trump Hw t surviv uclar war survivig i th wild survival tips that culd sav yur lif zmbi apcalyps apcalyps d f th wrld hw t surviv survival tips hw t stay aliv i th wds what if w hav a uclar war wildrss al i th wildrss stradd  a islad survivr hw d bactria rul vr yur bdy is rality ral i a utshll humas i 1000 yars,676227.6,27426.6,588.2,2323.0,Scic AsapSCIENCE Survival Nuclar War Nrth Kra Dald Trump Hw t surviv uclar war survivig i th wild survival tips that culd sav yur lif zmbi apcalyps apcalyps d f th wrld hw t surviv survival tips hw t stay aliv i th wds what if w hav a uclar war wildrss al i th wildrss stradd  a islad survivr hw d bactria rul vr yur bdy is rality ral i a utshll humas i 1000 yars How To Survive The Apocalypse  - Scientific Survival Tips,2258
880,Lf3ER5Ope_s,How American Gothic became an icon,vx.cm vx xplai grat wd amrica gthic wd grat amrica gthic art art histry paitig ld iwa ld iwa 1930s histry cultur artistic pait ics pardis amrica gthic paitig artistic histry cultural histry iwa artists iwa art almaac vx almaac phil dwards byr mckby a wd a wd graham pars wms fabl daughtrs f th rvluti,336309.5,10380.5,390.0,696.5,vx.cm vx xplai grat wd amrica gthic wd grat amrica gthic art art histry paitig ld iwa ld iwa 1930s histry cultur artistic pait ics pardis amrica gthic paitig artistic histry cultural histry iwa artists iwa art almaac vx almaac phil dwards byr mckby a wd a wd graham pars wms fabl daughtrs f th rvluti How American Gothic became an icon,880
724,HzzmqUoQobc,Why we really really really like repetition in music,frmati byc michal jacks bat it taylr swift lk what yu mad m d carly ra jps i rally lik yu cut t th flig stv rich rby music scic arwrm psychlgy vx pp hip hp rihaa vic stapls migs charli xcx bys dadz th bach bys vx xplais ws pp cultur,333622.0,15230.0,674.0,1842.0,frmati byc michal jacks bat it taylr swift lk what yu mad m d carly ra jps i rally lik yu cut t th flig stv rich rby music scic arwrm psychlgy vx pp hip hp rihaa vic stapls migs charli xcx bys dadz th bach bys vx xplais ws pp cultur Why we really really really like repetition in music,724
620,FPRTN_r9IyM,Bizarre ‘Lava-Like’ Landslide Tears Through Hillside | National Geographic,atial ggraphic at g atg aimals wildlif scic xplr discvr survival atur dcumtary ladslid mud chia prmafrst climat wathr mltig mutais tibt Bizarr Lava-Lik Ladslid Tars Ladslid Tars Thrugh Hillsid Hillsid thick stram grass slids swpig mutai Chis scial mdia dramatic ladslid ffct f thawig prmafrst PLivjPDlt6ApTjurXykShuUqp7LQcj9s8s PLivjPDlt6ApRiBHpsyXWG22G8RPNZ6jlb PLivjPDlt6ApRfQqtRw7JkGCLvzGMBB2,29554.333333333332,855.0,13.666666666666666,187.0,atial ggraphic at g atg aimals wildlif scic xplr discvr survival atur dcumtary ladslid mud chia prmafrst climat wathr mltig mutais tibt Bizarr Lava-Lik Ladslid Tars Ladslid Tars Thrugh Hillsid Hillsid thick stram grass slids swpig mutai Chis scial mdia dramatic ladslid ffct f thawig prmafrst PLivjPDlt6ApTjurXykShuUqp7LQcj9s8s PLivjPDlt6ApRiBHpsyXWG22G8RPNZ6jlb PLivjPDlt6ApRfQqtRw7JkGCLvzGMBB2 Bizarre ‘Lava-Like’ Landslide Tears Through Hillside | National Geographic,620
